,MJD,RA,DEC,Flux,Flux_err
0,59113.5,22:02:43.198,42:16:40.8,8.2796625e-08,2.9358633e-08
1,59114.5,22:02:43.198,42:16:40.8,1.16452085e-07,3.4046217e-08
2,59115.5,22:02:43.198,42:16:40.8,8.94585e-08,2.9764086e-08
3,59116.5,22:02:43.198,42:16:40.8,1.152293e-07,3.585505e-08
4,59117.5,22:02:43.198,42:16:40.8,5.638501e-08,2.4255044e-08
5,59118.5,22:02:43.198,42:16:40.8,5.6172194e-08,2.341286e-08
6,59119.5,22:02:43.198,42:16:40.8,1.7239938e-07,4.4645212e-08
7,59120.5,22:02:43.198,42:16:40.8,1.3568234e-07,5.1726637e-08
8,59121.5,22:02:43.198,42:16:40.8,2.6840848e-07,7.807456e-08
9,59122.5,22:02:43.198,42:16:40.8,1.973974e-07,6.600849e-08
10,59123.5,22:02:43.198,42:16:40.8,3.8979866e-07,9.378326e-08
11,59124.5,22:02:43.198,42:16:40.8,2.5409298e-07,7.75056e-08
12,59125.5,22:02:43.198,42:16:40.8,2.4524994e-07,5.9521106e-08
13,59126.5,22:02:43.198,42:16:40.8,1.5519498e-07,7.8845446e-08
14,59127.5,22:02:43.198,42:16:40.8,4.065774e-07,1.405376e-07
15,59128.5,22:02:43.198,42:16:40.8,4.6781219e-07,1.1778353e-07
16,59129.5,22:02:43.198,42:16:40.8,1.17620836e-07,4.1044146e-08
17,59130.5,22:02:43.198,42:16:40.8,1.7853657e-07,4.7303065e-08
18,59131.5,22:02:43.198,42:16:40.8,1.04771686e-07,1.3000607e-08
19,59132.5,22:02:43.198,42:16:40.8,3.9631666e-07,6.7394225e-08
20,59133.5,22:02:43.198,42:16:40.8,9.321115e-08,3.1710513e-08
21,59134.5,22:02:43.198,42:16:40.8,8.86995e-08,2.7924541e-08
22,59135.5,22:02:43.198,42:16:40.8,1.6078452e-07,4.5325514e-08
23,59136.5,22:02:43.198,42:16:40.8,5.5678143e-08,2.415431e-08
24,59137.5,22:02:43.198,42:16:40.8,6.551386e-08,2.7272682e-08
25,59138.5,22:02:43.198,42:16:40.8,3.6968956e-08,1.926569e-09
26,59139.5,22:02:43.198,42:16:40.8,6.622324e-08,1.7066764e-08
27,59140.5,22:02:43.198,42:16:40.8,4.8819864e-08,1.2459991e-08
