,MJD,RA,DEC,Flux,Flux_err
0,59113.5,02:43.2,16:40.8,8.28E-08,2.94E-08
4,59117.5,02:43.2,16:40.8,5.64E-08,2.43E-08
5,59118.5,02:43.2,16:40.8,5.62E-08,2.34E-08
6,59119.5,02:43.2,16:40.8,1.72E-07,4.46E-08
7,59120.5,02:43.2,16:40.8,1.36E-07,5.17E-08
8,59121.5,02:43.2,16:40.8,2.68E-07,7.81E-08
9,59122.5,02:43.2,16:40.8,1.97E-07,6.60E-08
10,59123.5,02:43.2,16:40.8,3.90E-07,9.38E-08
11,59124.5,02:43.2,16:40.8,2.54E-07,7.75E-08
12,59125.5,02:43.2,16:40.8,2.45E-07,5.95E-08
13,59126.5,02:43.2,16:40.8,1.55E-07,7.88E-08
14,59127.5,02:43.2,16:40.8,4.07E-07,1.41E-07
16,59129.5,02:43.2,16:40.8,1.18E-07,4.10E-08
17,59130.5,02:43.2,16:40.8,1.79E-07,4.73E-08
18,59131.5,02:43.2,16:40.8,1.05E-07,1.30E-08
19,59132.5,02:43.2,16:40.8,3.96E-07,6.74E-08
20,59133.5,02:43.2,16:40.8,9.32E-08,3.17E-08
21,59134.5,02:43.2,16:40.8,8.87E-08,2.79E-08
22,59135.5,02:43.2,16:40.8,1.61E-07,4.53E-08
23,59136.5,02:43.2,16:40.8,5.57E-08,2.42E-08
190,59303.5,02:43.2,16:40.8,9.72E-08,1.82E-08
192,59305.5,02:43.2,16:40.8,7.49E-08,2.67E-08
194,59307.5,02:43.2,16:40.8,5.83E-08,2.54E-08
196,59309.5,02:43.2,16:40.8,6.63E-08,1.84E-08
201,59314.5,02:43.2,16:40.8,1.86E-07,3.98E-08
206,59319.5,02:43.2,16:40.8,3.13E-07,1.94E-08
207,59320.5,02:43.2,16:40.8,1.85E-07,4.39E-08
209,59322.5,02:43.2,16:40.8,1.10E-07,2.44E-08
211,59324.5,02:43.2,16:40.8,5.94E-08,2.28E-08
218,59331.5,02:43.2,16:40.8,1.03E-06,8.37E-08
219,59332.5,02:43.2,16:40.8,3.64E-07,1.00E-08
223,59336.5,02:43.2,16:40.8,1.04E-07,3.07E-08
226,59339.5,02:43.2,16:40.8,2.33E-07,5.56E-08
227,59340.5,02:43.2,16:40.8,1.37E-07,3.18E-08
229,59342.5,02:43.2,16:40.8,5.82E-08,2.87E-08
231,59344.5,02:43.2,16:40.8,6.98E-07,9.47E-08
232,59345.5,02:43.2,16:40.8,1.06E-07,3.59E-08
233,59346.5,02:43.2,16:40.8,1.61E-07,4.20E-08
234,59347.5,02:43.2,16:40.8,5.88E-08,2.49E-08
235,59348.5,02:43.2,16:40.8,5.28E-08,1.48E-08
236,59349.5,02:43.2,16:40.8,7.81E-08,3.06E-08
237,59350.5,02:43.2,16:40.8,1.00E-07,3.42E-08
238,59351.5,02:43.2,16:40.8,9.53E-08,3.23E-08
239,59352.5,02:43.2,16:40.8,9.87E-08,2.30E-08
240,59353.5,02:43.2,16:40.8,8.01E-08,1.97E-08
241,59354.5,02:43.2,16:40.8,6.38E-08,2.39E-08
245,59358.5,02:43.2,16:40.8,2.34E-07,1.44E-08
284,59397.5,02:43.2,16:40.8,1.69E-07,4.41E-08
285,59398.5,02:43.2,16:40.8,1.99E-07,5.24E-08
286,59399.5,02:43.2,16:40.8,2.13E-07,5.42E-08
287,59400.5,02:43.2,16:40.8,8.94E-08,3.24E-08
288,59401.5,02:43.2,16:40.8,1.47E-07,2.32E-08
289,59402.5,02:43.2,16:40.8,1.42E-07,4.07E-08
290,59403.5,02:43.2,16:40.8,1.21E-07,3.33E-08
291,59404.5,02:43.2,16:40.8,8.85E-08,2.28E-08
292,59405.5,02:43.2,16:40.8,2.51E-07,5.13E-08
293,59406.5,02:43.2,16:40.8,5.62E-07,7.14E-08
295,59408.5,02:43.2,16:40.8,2.03E-07,4.39E-08
296,59409.5,02:43.2,16:40.8,1.51E-07,3.93E-08
297,59410.5,02:43.2,16:40.8,1.24E-07,3.28E-08
298,59411.5,02:43.2,16:40.8,9.10E-08,3.05E-08
299,59412.5,02:43.2,16:40.8,1.45E-07,3.80E-08
300,59413.5,02:43.2,16:40.8,2.37E-07,3.91E-08
301,59414.5,02:43.2,16:40.8,4.14E-07,4.51E-08
302,59415.5,02:43.2,16:40.8,3.69E-07,4.62E-08
303,59416.5,02:43.2,16:40.8,2.52E-07,1.27E-08
304,59417.5,02:43.2,16:40.8,1.55E-07,3.05E-08
307,59420.5,02:43.2,16:40.8,1.29E-07,2.94E-08
308,59421.5,02:43.2,16:40.8,1.08E-07,7.94E-09
309,59422.5,02:43.2,16:40.8,2.07E-07,3.63E-08
310,59423.5,02:43.2,16:40.8,2.68E-07,4.07E-08
311,59424.5,02:43.2,16:40.8,2.99E-07,4.09E-08
312,59425.5,02:43.2,16:40.8,5.52E-07,5.41E-08
313,59426.5,02:43.2,16:40.8,3.58E-07,4.40E-08
