mjd,rotskypa,rotang,gain,mag,mag_err,q,q_err,u,u_err,pol,pol_err,EVPA,EVPA_err
59113.83175,-283.633,0.3301,0.55,14.02631571,0.017788659,-0.079627382,0.006071597,-0.02404868,0.004755668,9.655415265,0.545327274,174.7695572,1.680470353
59113.83268,-283.633,0.3301,0.55,14.01076066,0.01642455,-0.081503836,0.005214884,-0.027794169,0.010598964,9.943243527,0.835787653,175.7821167,3.383987548
59117.85949,-294.867,0.7319,0.55,14.07182109,0.010036007,-0.058131255,0.004575399,-0.032133206,0.004682147,7.704417409,0.462879256,169.5992473,2.008756661
59117.86042,-294.867,0.7319,0.55,14.07748587,0.009056981,-0.064766944,0.00462137,-0.029433757,0.003669713,8.260149976,0.41727761,167.3528645,1.550088313
59118.87403,-301.814,0.5623,0.55,14.14699056,0.008740715,-0.007858681,0.015420977,-0.027915838,0.003766742,2.938313826,1.175702908,5.324690426,14.69793075
59118.87496,-301.814,0.5623,0.55,14.13858086,0.008801409,-0.011526289,0.01035751,-0.029766243,0.003076859,3.539460394,0.786382378,2.602129242,8.725725302
59119.82281,-285.615,0.333,0.55,14.00112262,0.020973069,-0.050023843,0.008554952,-0.031425695,0.007304023,6.81125997,0.791990574,0.453813471,3.723664896
59119.82373,-285.615,0.333,0.55,14.00504632,0.018435674,-0.052349257,0.010649675,-0.038317531,0.006172215,7.485836649,0.866721163,2.486306551,3.54297745
59120.81883,-285.232,0.3887,0.55,14.20527944,0.036907069,-0.015658128,0.030281612,0.023081325,0.011246424,2.285363701,1.829405617,136.8442776,26.54356985
59120.81975,-285.232,0.3887,0.55,14.23533475,0.030431042,-0.017929878,0.014019485,0.016665972,0.008825069,2.534293619,1.195504349,143.3141413,13.49059534
59121.81739,-285.625,0.3427,0.55,13.63040107,0.042579881,-0.06857586,0.008860609,-0.021225079,0.010501717,8.260075152,0.967252848,172.9739723,4.137869685
59121.81832,-285.625,0.3427,0.55,13.65371037,0.035072822,-0.061484956,0.016369447,-0.00848268,0.021796869,6.775844558,2.032383133,168.3025693,10.0195432
59122.81661,-286.086,0.4,0.55,14.01112866,0.038468271,-0.06157364,0.011073862,-0.006270039,0.010104522,7.100641706,1.055654442,166.8211913,4.681889298
59122.81754,-286.086,0.4,0.55,14.01301174,0.031784026,-0.053585978,0.017318013,-0.021858259,0.010088821,6.598726699,1.457847672,175.0095207,5.645102142
59123.82074,-288.059,0.3704,0.55,13.70430648,0.017471655,-0.080597105,0.004882962,-0.024366778,0.010710192,9.716742188,0.832831402,170.3517739,3.521051952
59123.82167,-288.059,0.3704,0.55,13.70216868,0.015717553,-0.082616117,0.005345683,-0.022140418,0.004702776,9.930184448,0.503451949,169.4421311,1.590488599
59124.82001,-288.6,0.4072,0.55,13.59580906,0.015545864,-0.066452716,0.004100358,-0.063923193,0.00407232,10.71122265,0.408636112,3.344249933,1.269426935
59124.82094,-288.6,0.4072,0.55,13.56788734,0.014097772,-0.065954431,0.003900035,-0.062607153,0.003371791,10.56570402,0.364549386,3.154281071,1.144106266
59125.81628,-287.704,1.0286,0.55,13.79263284,0.024651947,-0.028436413,0.010827086,0.013918821,0.005590338,3.593504972,0.897026139,149.2557784,6.260451598
59125.81721,-287.704,1.0286,0.55,13.82716485,0.020830033,-0.034358645,0.006757302,0.015887217,0.004801005,4.360100855,0.582576227,149.888241,3.934824606
59126.8156,-288.904,0.4166,0.55,13.84547186,0.024092529,0.026310025,0.005107497,-0.013947294,0.005936244,3.397706535,0.553986576,57.1316716,5.545827746
59126.81652,-288.904,0.4166,0.55,13.83815998,0.02072362,0.01288466,0.016333288,-0.019080209,0.007921247,2.202375053,1.243199837,43.11136722,17.72315474
59127.81231,-288.795,0.3595,0.55,13.3482595,0.036224569,-0.046437217,0.006730272,-0.009594368,0.015215297,5.239230029,1.216296287,167.0417969,9.039801434
59127.81324,-288.795,0.3595,0.55,13.31871391,0.03334295,-0.047462722,0.007192533,-0.008801239,0.012285386,5.43519414,1.018385703,166.4576512,7.210916706
59129.85119,-305.252,0.4502,0.55,14.05558327,0.007704407,-0.06914817,0.003481352,0.038137296,0.002600187,9.176411252,0.307252185,130.3089714,1.026790127
59129.85212,-305.252,0.4502,0.55,14.04170784,0.008788072,-0.070850501,0.003564559,0.043932302,0.002782697,9.687325076,0.319761527,128.8470857,1.037864262
59130.89419,-336.843,2.0614,0.55,13.90225573,0.006227494,0.017628749,0.006100648,-0.016312584,0.0028921,2.740347355,0.48012288,1.767341535,5.55291147
59130.89511,-336.843,2.0614,0.55,13.89935669,0.006238713,0.016816372,0.001709855,-0.016156953,0.002689273,2.69879116,0.225482951,1.229839999,2.791594139
59131.81716,-293.599,0.5507,0.55,13.7702407,0.010634085,-0.007547748,0.386621563,-0.012163292,0.007828469,0.833046708,5.576774476,5.490475849,657.4944803
59131.81808,-293.599,0.5507,0.55,13.75526105,0.009847642,-0.003881396,0.013533854,-0.012419009,0.002463531,1.03702081,0.799842401,12.72302952,28.48743943
59132.80869,-291.827,0.4228,0.55,13.85926776,0.0348637,-0.01633735,0.010401177,0.006992877,0.008643649,1.810031883,0.949395037,146.5868095,14.40924582
59132.80962,-291.827,0.4228,0.55,13.88201538,0.028648905,-0.008888871,0.016016788,-0.005003555,0.01775547,0.684653519,0.873556005,172.8606032,48.73624986
59133.80886,-292.838,0.3798,0.55,14.11968298,0.03257989,-0.029009965,0.022048976,-0.016426442,0.010405306,3.529015041,1.74103561,171.9220171,12.15308462
59133.80979,-292.838,0.3798,0.55,14.17150993,0.026435998,-0.025216593,0.007967208,-0.005947677,0.040768059,1.785739162,1.866709189,163.7977178,43.92125495
59134.81249,-294.877,0.5074,0.55,14.02386437,0.016943043,-0.023078327,0.006961511,-0.04610492,0.006065657,5.943155737,0.651032484,6.827618915,3.773618738
59134.81342,-294.877,0.5074,0.55,13.98495502,0.015680143,-0.024605027,0.019212685,-0.046348279,0.006255055,5.773123729,1.491956826,6.141698465,9.401773661
59135.81136,-295.34,0.6142,0.55,13.9520567,0.019034014,-0.038065331,0.007190751,-0.018869019,0.004940826,4.89938864,0.613411814,167.8438283,3.680697145
59135.81229,-295.34,0.6142,0.55,13.99467718,0.016404236,-0.031796981,0.008214553,-0.024520487,0.013247875,4.473220163,1.150554704,173.4789455,8.296434696
59136.80527,-294.279,0.4965,0.55,14.21128298,0.044805252,-0.079679283,0.034925172,-0.028013163,0.153459227,5.65461628,6.460774999,165.4061737,49.26206592
59136.8062,-294.279,0.4965,0.55,14.23932122,0.036683947,-0.099032469,0.013189942,-0.024665879,0.064259833,9.799965404,4.713474378,162.7140033,17.52598873
59303.26217,-271.927,0.2427,0.55,14.03921909,0.036864691,0.054764324,0.010844348,0.060446601,0.02718876,9.200783433,2.140382069,111.9847883,7.005431866
59303.26309,-271.927,0.2427,0.55,14.02949659,0.044333818,0.050839226,0.013986097,0.052762925,0.019158695,8.299104573,1.713313653,111.1048769,6.520851029
59305.25725,-271.994,0.2568,0.55,14.48290539,0.020473204,0.049129519,0.010745649,0.007192149,0.007534093,5.705717469,0.928271601,92.1702315,4.393779274
59305.25817,-271.994,0.2568,0.55,14.47397467,0.022653089,0.057779287,0.010387469,0.014697995,0.00629768,6.889771824,0.854183924,95.14214284,3.180402676
59307.25707,-273.15,0.2636,0.55,14.35556201,0.020511222,0.060617933,0.006764364,0.010504323,0.010255305,7.055890453,0.86404726,91.76550413,4.735974806
59307.258,-273.15,0.2636,0.55,14.36162448,0.022472735,0.064810801,0.007406487,0.005066704,0.006865983,7.51693113,0.714092065,89.08505585,3.027196722
59309.25364,-273.608,0.2398,0.55,14.35722033,0.026908551,0.075849489,0.022232417,-0.013323548,0.009247103,8.880950799,1.728872311,81.41059689,3.677788329
59309.25456,-273.608,0.2398,0.55,14.41855274,0.025085562,0.068682348,0.009462357,-0.012856676,0.022872859,7.701979245,1.811986797,81.09074125,9.245045126
59314.23577,-272.608,0.3165,0.55,13.69780898,0.009193217,0.086590854,0.003743455,0.033896251,0.002278315,10.80868214,0.309872302,98.08100441,0.777130036
59314.2367,-272.608,0.3165,0.55,13.69377607,0.010014564,0.086842746,0.003122371,0.033020399,0.004859272,10.78964617,0.40842199,97.80120499,1.441702296
59319.22625,-273.612,0.2075,0.55,13.39687926,0.008105163,0.063290851,0.002201102,-0.005209795,0.002727543,7.37749709,0.247834059,84.03514949,1.228985281
59319.22717,-273.612,0.2075,0.55,13.38531142,0.008322241,0.06407969,0.002812372,-0.004837301,0.00183744,7.469249126,0.237546012,84.2294981,0.822237605
59320.22502,-273.742,0.4009,0.55,13.52800514,0.008266253,0.043813625,0.002264042,0.02666079,0.002520003,5.95686607,0.239544217,101.9183517,1.370440438
59320.22595,-273.742,0.4009,0.55,13.53565668,0.008146825,0.046686812,0.002368009,0.02613613,0.001829295,6.217257343,0.211586702,100.8784493,1.055465992
59322.21075,-272.059,0.182,0.55,14.02776754,0.008482933,0.014857737,0.002549291,0.016264011,0.00230462,2.545768364,0.242974755,111.7346103,3.174490435
59322.21167,-272.059,0.182,0.55,14.03045174,0.008384251,0.014625311,0.012862801,0.013119614,0.00377058,2.045113107,0.96686365,108.8878235,13.17548843
59324.2099,-272.799,0.4438,0.55,14.26910329,0.015101246,0.004812904,0.008231485,-0.030228514,0.006070614,3.431969255,0.742327966,46.72427432,7.660468316
59324.21082,-272.799,0.4438,0.55,14.26225582,0.013581605,-0.000340872,0.004062981,-0.023410584,0.005269269,2.681451203,0.473482233,41.78389972,4.971763941
59331.18918,-272.154,0.7463,0.55,12.66663662,0.018778017,0.111325063,0.002229949,-0.052552843,0.002039349,14.31260935,0.213677514,75.21078463,0.482961893
59331.19011,-272.154,0.7463,0.55,12.65152817,0.019365984,0.110388866,0.002152407,-0.053485185,0.002068222,14.2611536,0.211073427,74.92053195,0.486829054
59332.22179,-280.448,0.4933,0.55,13.5220827,0.013037996,0.024810932,0.002816144,0.016409251,0.001962103,3.44892724,0.24272838,96.29176367,2.173144961
59332.22272,-280.448,0.4933,0.55,13.52591317,0.012993589,0.023516127,0.003170777,0.020719129,0.010055724,3.530610194,0.765439845,100.2430006,7.157747115
59336.23455,-286.812,0.2998,0.55,14.17372774,0.015595322,-0.029221711,0.00855785,0.008411826,0.004179462,3.494296179,0.684216548,155.1584457,4.392230239
59336.23548,-286.812,0.2998,0.55,14.16708736,0.016437182,-0.034221707,0.00565185,0.004485086,0.005150352,3.968460543,0.537439449,159.4546952,4.282301973
59339.21225,-283.061,0.279,0.55,14.02078043,0.008078469,0.01533491,0.00279532,-0.023490799,0.003201996,3.244285385,0.300617416,48.50735112,2.984742247
59339.21318,-283.061,0.279,0.55,14.03550222,0.007978804,0.012424952,0.00261137,-0.020984719,0.007954309,2.784535196,0.608250074,47.25378668,5.443443373
59340.16671,-273.023,0.3317,0.55,14.13126111,0.008663991,0.057222259,0.003601539,-0.013898042,0.004744302,6.825492469,0.42115858,80.15121961,2.280695532
59340.16764,-273.023,0.3317,0.55,14.13873177,0.008582155,0.058657114,0.003820151,-0.012014182,0.007699332,6.906377204,0.608085217,81.18937089,3.627510003
59342.22902,-290.006,0.2701,0.55,14.42284719,0.012516974,0.018457594,0.007034737,0.02330481,0.004638646,3.381132889,0.599859059,95.80424887,5.99519223
59342.22995,-290.006,0.2701,0.55,14.41373154,0.013524319,0.023361608,0.004250316,0.024420075,0.010404745,3.824430408,0.814422721,93.12850843,6.629655586
59344.15439,-272.74,0.3263,0.55,13.87667065,0.007965767,0.030648671,0.002751656,-0.117096838,0.002834303,14.07092557,0.279328513,49.59372081,0.652529612
59344.15532,-272.74,0.3263,0.55,13.88180076,0.007891547,0.0273878,0.003207844,-0.113827746,0.002810065,13.60847186,0.301552074,49.02431791,0.779928909
