mjd,rotskypa,rotang,gain,mag,mag_err,q,q_err,u,u_err,pol,pol_err,EVPA,EVPA_err
59113.83175,-283.633,0.3301,0.55,14.02631571,0.017788659,-0.079627382,0.006071597,-0.02404868,0.004755668,9.655415265,0.545327274,174.7695572,1.680470353
59117.85949,-294.867,0.7319,0.55,14.07182109,0.010036007,-0.058131255,0.004575399,-0.032133206,0.004682147,7.704417409,0.462879256,169.5992473,2.008756661
59118.87403,-301.814,0.5623,0.55,14.14699056,0.008740715,-0.007858681,0.015420977,-0.027915838,0.003766742,2.938313826,1.175702908,5.324690426,14.69793075
59119.82281,-285.615,0.333,0.55,14.00112262,0.020973069,-0.050023843,0.008554952,-0.031425695,0.007304023,6.81125997,0.791990574,0.453813471,3.723664896
59120.81883,-285.232,0.3887,0.55,14.20527944,0.036907069,-0.015658128,0.030281612,0.023081325,0.011246424,2.285363701,1.829405617,136.8442776,26.54356985
59121.81739,-285.625,0.3427,0.55,13.63040107,0.042579881,-0.06857586,0.008860609,-0.021225079,0.010501717,8.260075152,0.967252848,172.9739723,4.137869685
59122.81661,-286.086,0.4,0.55,14.01112866,0.038468271,-0.06157364,0.011073862,-0.006270039,0.010104522,7.100641706,1.055654442,166.8211913,4.681889298
59123.82074,-288.059,0.3704,0.55,13.70430648,0.017471655,-0.080597105,0.004882962,-0.024366778,0.010710192,9.716742188,0.832831402,170.3517739,3.521051952
59124.82001,-288.6,0.4072,0.55,13.59580906,0.015545864,-0.066452716,0.004100358,-0.063923193,0.00407232,10.71122265,0.408636112,3.344249933,1.269426935
59125.81628,-287.704,1.0286,0.55,13.79263284,0.024651947,-0.028436413,0.010827086,0.013918821,0.005590338,3.593504972,0.897026139,149.2557784,6.260451598
59126.8156,-288.904,0.4166,0.55,13.84547186,0.024092529,0.026310025,0.005107497,-0.013947294,0.005936244,3.397706535,0.553986576,57.1316716,5.545827746
59127.81231,-288.795,0.3595,0.55,13.3482595,0.036224569,-0.046437217,0.006730272,-0.009594368,0.015215297,5.239230029,1.216296287,167.0417969,9.039801434
59129.85119,-305.252,0.4502,0.55,14.05558327,0.007704407,-0.06914817,0.003481352,0.038137296,0.002600187,9.176411252,0.307252185,130.3089714,1.026790127
59130.89419,-336.843,2.0614,0.55,13.90225573,0.006227494,0.017628749,0.006100648,-0.016312584,0.0028921,2.740347355,0.48012288,1.767341535,5.55291147
59131.81716,-293.599,0.5507,0.55,13.7702407,0.010634085,-0.007547748,0.386621563,-0.012163292,0.007828469,0.833046708,5.576774476,5.490475849,657.4944803
59132.80869,-291.827,0.4228,0.55,13.85926776,0.0348637,-0.01633735,0.010401177,0.006992877,0.008643649,1.810031883,0.949395037,146.5868095,14.40924582
59133.80886,-292.838,0.3798,0.55,14.11968298,0.03257989,-0.029009965,0.022048976,-0.016426442,0.010405306,3.529015041,1.74103561,171.9220171,12.15308462
59134.81249,-294.877,0.5074,0.55,14.02386437,0.016943043,-0.023078327,0.006961511,-0.04610492,0.006065657,5.943155737,0.651032484,6.827618915,3.773618738
