mjd,rotskypa,rotang,gain,mag,mag_err,q,q_err,u,u_err,pol,pol_err,EVPA,EVPA_err
59113.83404,-283.644,0.929,0.55,12.53488643,0.006088221,-0.076153892,0.002107698,-0.017244858,0.002112012,9.075982907,0.210985608,28.08564888,0.774809243
59117.86177,-294.86,1.5529,0.55,12.57434441,0.011347077,-0.062978267,0.003115482,-0.026555069,0.002129817,7.942906415,0.266855323,21.9214695,0.966458651
59118.87632,-301.818,1.5789,0.55,12.63808983,0.00436676,-0.016152533,0.001382576,-0.025713863,0.001818686,3.526539251,0.161542301,32.4642126,1.43278823
59119.82511,-285.603,0.9762,0.55,12.4714244,0.005895432,-0.053687655,0.001912532,-0.030019113,0.001943832,7.148810907,0.192824545,34.35273103,0.901872957
59120.82112,-285.226,1.01,0.55,12.66633706,0.008691759,-0.013795895,0.003081117,0.016811269,0.004450239,2.492283952,0.381608552,174.8107286,4.865637863
59121.81967,-285.609,0.9678,0.55,12.19633822,0.010192019,-0.063564451,0.002632792,-0.009239603,0.002597505,7.462780895,0.261520807,23.87623844,1.158823613
59122.81889,-286.101,1.0318,0.55,12.44723231,0.010009749,-0.048932334,0.002424013,-0.008341153,0.002664808,5.763603586,0.254726309,24.08591323,1.534200404
59123.82305,-288.058,1.0574,0.55,12.18747701,0.006065655,-0.07273587,0.001610311,-0.017572101,0.001610603,8.69895824,0.161045691,24.08286184,0.616609963
59124.82231,-288.613,1.1033,0.55,12.10455499,0.005482014,-0.069763431,0.001405867,-0.056304888,0.001452894,10.42311921,0.142957401,36.19020713,0.458405763
59125.81857,-287.708,1.7003,0.55,12.30895602,0.007943991,-0.035916749,0.002278797,0.007403951,0.002550107,4.253954078,0.241816475,11.81804728,1.983930752
59126.81788,-288.914,1.1129,0.55,12.32871569,0.007916099,0.018234529,0.00239464,-0.021387708,0.002180447,3.257099555,0.229032477,81.66096571,2.351406909
59127.81459,-288.803,1.0429,0.55,11.90975696,0.011201803,-0.04970794,0.002838398,-0.009474856,0.002583842,5.876330532,0.27141194,21.94286214,1.468085868
59129.85348,-305.25,1.576,0.55,12.58713289,0.004986841,-0.062625298,0.001880299,0.03469927,0.001557097,8.322919317,0.172627848,165.6050742,0.65571926
59130.89647,-336.844,4.5134,0.55,12.43630858,0.003456087,0.015173302,0.001228772,-0.012398112,0.001267372,2.273772405,0.124819361,38.87986294,1.830564988
59131.81945,-293.602,1.3415,0.55,12.27400954,0.004139233,-0.001646921,0.001059233,-0.008453987,0.001544256,0.993616021,0.13160899,51.23613958,3.594934238
59132.81098,-291.83,1.1673,0.55,12.39362687,0.018708966,-0.010589763,0.039519737,-0.006221182,0.109881233,0.719779584,2.157573267,28.73650705,225.8666166
59133.81114,-292.83,1.1435,0.55,12.66592003,0.008678536,-0.020966567,0.012945099,-0.013248408,0.003235118,2.754278916,0.995387103,28.66403918,8.589381527
59134.81479,-294.873,1.327,0.55,12.50415506,0.005604546,-0.018901774,0.001655726,-0.040990255,0.001957476,5.244877599,0.181288989,43.09911354,1.086859667
59135.81365,-295.327,1.4464,0.55,12.48762016,0.006055779,-0.032395816,0.002071776,-0.024665059,0.002209435,4.727844635,0.214171999,28.66519847,1.51971084
59136.80757,-294.272,1.301,0.55,12.66402854,0.011010255,-0.080818833,0.004782507,-0.030099521,0.003867716,10.01739313,0.434923521,21.2914708,1.325526689
59303.26447,-271.884,0.7364,0.55,12.47510928,0.018576668,0.05615229,0.004130499,0.061399769,0.004154507,9.662972851,0.414252328,147.2439824,1.425928067
59305.25955,-272.005,0.7523,0.55,12.87581271,0.009708106,0.061409157,0.003335115,0.017742887,0.003653344,7.420690887,0.34978721,131.4027698,1.626798877
59307.25936,-273.144,0.7618,0.55,12.75917174,0.009328707,0.062380849,0.003539113,0.022400647,0.00983371,7.630692685,0.738777328,132.0824781,4.033492267
59309.25597,-273.619,0.7452,0.55,12.81819403,0.016082104,0.063264648,0.006309861,-0.024233093,0.005560717,7.850047364,0.594935009,111.251501,2.394308716
59314.23806,-272.606,0.8229,0.55,12.19845098,0.004684688,0.084128529,0.001482835,0.024818737,0.00123107,10.19815097,0.136277891,130.9622868,0.409271105
59319.22856,-273.61,0.7234,0.55,11.90164839,0.004274704,0.079121975,0.001214491,-0.000467529,0.001223764,9.199289895,0.121913652,121.5707227,0.443083439
59320.22734,-273.748,0.9169,0.55,12.06753083,0.004156264,0.049741136,0.00133458,0.023181772,0.001321048,6.379286273,0.132783136,134.0958964,0.69089315
59322.21306,-272.051,0.6891,0.55,12.47575286,0.004323634,0.01094512,0.001707731,0.017014301,0.001442808,2.344730464,0.158085749,151.9226259,2.314745518
59324.21214,-272.795,0.9293,0.55,12.67824018,0.006339184,-0.006200405,0.02286278,-0.023546817,0.002419199,2.01090182,1.416512198,70.17881067,26.02212122
59327.20918,-273.699,1.1714,0.55,12.24513541,0.079702071,0.054155736,0.019688196,-0.073024293,0.071011847,9.289882118,5.097906274,94.93154859,14.23023293
59331.19149,-272.15,1.2457,0.55,11.17838056,0.007727671,0.116981171,0.001023954,-0.053390152,0.000981607,14.95175428,0.100300415,110.934033,0.220344223
59332.22411,-280.446,1.0708,0.55,12.01789831,0.005260745,0.024789971,0.00126515,0.012607145,0.001844472,3.227563975,0.158157283,128.3819951,1.793595938
59336.23685,-286.818,0.9477,0.55,12.52554578,0.007293362,-0.033178932,0.001949066,0.011040878,0.002172134,4.058323385,0.206362211,9.329110778,1.762187893
59339.2146,-283.067,0.8712,0.55,12.43354666,0.004178254,0.014277055,0.001505494,-0.015760395,0.001507273,2.466537167,0.150628677,88.36942898,2.029205977
59340.16901,-273.017,0.8422,0.55,12.5775859,0.004316423,0.052558865,0.001673484,-0.012338822,0.001945394,6.273629051,0.18145395,115.7271874,1.025263252
59342.23132,-290.01,0.9772,0.55,12.81209635,0.006220373,0.018357984,0.002445386,0.015921834,0.00226613,2.812500185,0.235894102,125.807509,2.764228832
59344.1567,-272.722,0.8266,0.55,12.39909618,0.004096986,0.021907597,0.001778766,-0.113062765,0.001517476,13.38977544,0.165329127,83.11101015,0.440290137
59345.20952,-285.806,1.1859,0.55,12.53347419,0.004080132,0.196530577,0.001643123,-0.055876681,0.001654169,23.75730732,0.164865502,101.6083647,0.231817563
59346.15085,-272.789,0.6774,0.55,12.38016182,0.004190615,0.10367095,0.001558099,-0.069482862,0.001512996,14.51077159,0.153571309,105.6455092,0.350545175
59347.17356,-278.348,0.8656,0.55,12.63372648,0.004264374,0.044631083,0.001627328,-0.068066046,0.001765519,9.462381258,0.169783003,88.62848012,0.587813799
59348.16093,-276.149,0.7655,0.55,12.89987057,0.004717878,0.012067792,0.002203619,-0.041011168,0.002482608,4.964164044,0.234727672,82.3994241,1.492465767
59349.14557,-273.124,0.9651,0.55,12.87563413,0.004611019,0.088075591,0.002221993,-0.058581067,0.002081857,12.2973198,0.215306576,105.4116116,0.575734861
59350.15132,-275.001,0.9816,0.55,12.91580118,0.005335404,0.067651022,0.002563825,-0.037709979,0.002249316,9.001897366,0.24117033,105.7809323,0.860983022
59351.14711,-274.958,0.6889,0.55,12.73770033,0.00632585,0.067313597,0.002405855,-0.098672657,0.002551328,13.8861734,0.247965821,92.54272791,0.588322916
59352.16385,-279.408,0.7442,0.55,13.02172609,0.006062547,0.031807547,0.002865356,-0.054392138,0.002859318,7.319144043,0.286233687,86.10116534,1.302058821
59353.15777,-278.533,0.8277,0.55,12.97122584,0.004661915,0.032499419,0.002054981,-0.06797525,0.002273541,8.757634981,0.216701833,84.59338651,0.797469875
59354.15047,-277.419,0.8688,0.55,12.91315982,0.004857322,0.006291672,0.006830339,-0.079505415,0.00214635,9.239898779,0.506251794,75.19334011,2.446589844
59358.11692,-272.012,1.1804,0.55,12.70703394,0.008435117,-0.002235291,0.002286654,-0.080435166,0.003011677,9.352756992,0.267385336,77.54208074,0.814334001
59397.07906,-289.187,1.1503,0.55,12.15189236,0.00395931,-0.045972374,0.001364215,4.00E-05,0.001494427,5.342802523,0.143080307,16.13809672,0.931258241
59398.09918,-296.884,1.2423,0.55,12.02537152,0.004578933,-0.086771472,0.001419211,-0.096751151,0.001393893,15.11095218,0.140660857,32.52229555,0.310365558
59399.05168,-283.34,0.8233,0.55,11.93269349,0.003932186,-0.04758176,0.001165006,-0.000701338,0.001335121,5.53118601,0.125295408,22.43222908,0.803737619
59400.07831,-291.656,1.0284,0.55,11.95083539,0.003925929,-0.07399062,0.001213123,-0.002297087,0.001292219,8.606394393,0.125329508,14.58310701,0.500055409
59401.01686,-276.314,0.7368,0.55,11.86243345,0.004242551,-0.095484554,0.00119128,0.073994149,0.001175434,14.04574079,0.118338368,10.14935394,0.280173714
59402.04619,-283.901,0.9787,0.55,11.96124804,0.004816501,-0.107009806,0.001487638,-0.015256167,0.001409491,12.56774939,0.144909162,25.5059314,0.373985227
59403.0449,-284.231,1.0311,0.55,11.83314578,0.004380805,-0.136192409,0.001242893,0.048637771,0.001253795,16.81527064,0.124835575,11.29253111,0.248127415
59404.05389,-287.551,0.9671,0.55,12.15552603,0.003951487,-0.098504052,0.001377254,0.018200787,0.004026638,11.63870537,0.300920632,12.56470768,1.13466356
59405.02342,-280.408,0.7643,0.55,11.97979346,0.00433059,-0.066610059,0.001295287,0.046530159,0.001344137,9.446693276,0.131993791,7.473973728,0.468335792
59406.05329,-288.805,1.1687,0.55,11.62427394,0.005437216,-0.03005234,0.001279339,0.012246775,0.001335364,3.770320943,0.130765171,5.459187268,1.171916029
59408.07333,-297.443,1.2387,0.55,11.94914647,0.005497401,-0.113078418,0.001600294,0.002442411,0.001515364,13.15053952,0.15584076,7.288322832,0.383831235
59409.0516,-290.726,1.2587,0.55,12.04412045,0.005402015,-0.089018196,0.001743678,-0.059139502,0.001848022,12.42523326,0.179660742,31.42309652,0.486980718
59410.00214,-278.59,0.7552,0.55,12.06809199,0.004807552,-0.063292123,0.001447306,-0.018441907,0.001699855,7.663108247,0.15786387,34.88247004,0.730691998
59411.04994,-291.976,1.254,0.55,12.21106644,0.0043936,-0.097172665,0.001461762,-0.050784409,0.001491904,12.7480136,0.147691011,27.17024125,0.388133689
59412.04479,-291.026,1.4029,0.55,12.00186011,0.004913783,-0.114394766,0.001608223,-0.038147142,0.00161138,14.02056148,0.160980235,23.54497987,0.382739135
59413.03527,-289.289,1.0032,0.55,12.10716838,0.005684694,-0.031935481,0.001855078,-0.001406989,0.001904301,3.710435407,0.187985728,17.32233095,1.706523573
59414.96119,-272.5,0.7107,0.55,11.65721914,0.007029892,-0.016051941,0.00117959,-0.035483629,0.001431265,4.526303804,0.131147814,65.67957315,0.901826488
59415.97508,-276.036,0.8139,0.55,11.83824995,0.005265403,0.000596081,0.001089965,-0.021184761,0.001282092,2.461059097,0.118992071,75.11985976,1.473586717
59416.98186,-278.267,0.8236,0.55,11.86388737,0.005155369,-0.080396686,0.001221799,0.041783604,0.00104749,10.53485502,0.113798708,13.35214438,0.343656749
59417.95147,-272.143,0.7043,0.55,12.0972016,0.009034376,-0.094994827,0.002129121,-0.02095496,0.00201493,11.30902639,0.207281201,39.42684398,0.594985682
59420.94567,-272.493,0.8777,0.55,11.92787662,0.009527597,-0.035899006,0.001766469,0.0026865,0.002053157,4.179177112,0.191519344,30.71712582,1.632695908
59421.97678,-280.315,0.8031,0.55,11.93068539,0.005585154,-0.00488359,0.000994685,-0.048869493,0.001391161,5.709619822,0.120928208,67.18165313,0.582942498
59423.01529,-291.36,1.2526,0.55,11.84666626,0.004990557,-0.077045398,0.001342584,0.107716258,0.001278682,15.39854526,0.131102201,166.7773592,0.285821551
59423.97072,-280.208,0.7823,0.55,11.59594585,0.004223056,-0.058625392,0.001051614,0.086760185,0.001079084,12.17500283,0.1065438,177.1657952,0.29008978
59424.96177,-278.732,0.7658,0.55,11.74829016,0.004987905,-0.10072986,0.00136289,0.050855301,0.001222731,13.12007086,0.129470833,13.2241215,0.317979056
59425.93219,-272.655,0.7551,0.55,11.24450386,0.005423481,-0.085496272,0.001136373,0.070046256,0.001084138,12.85126703,0.111056282,13.03128713,0.286517852
59426.93923,-274.596,0.956,0.55,11.47821473,0.009835584,-0.007331047,0.001161525,-0.009521589,0.00161815,1.38849629,0.140692304,56.9569532,3.217512305
