mjd,rotskypa,rotang,gain,mag,mag_err,q,q_err,u,u_err,pol,pol_err,EVPA,EVPA_err
59113.83404,-283.644,0.929,0.55,12.53488643,0.006088221,-0.076153892,0.002107698,-0.017244858,0.002112012,9.075982907,0.210985608,28.08564888,0.774809243
59113.83497,-283.644,0.929,0.55,12.53704494,0.00589279,-0.077850382,0.002179876,-0.019232532,0.002051072,9.32144453,0.211645444,28.64438636,0.735463036
59117.86177,-294.86,1.5529,0.55,12.57434441,0.011347077,-0.062978267,0.003115482,-0.026555069,0.002129817,7.942906415,0.266855323,21.9214695,0.966458651
59117.86269,-294.86,1.5529,0.55,12.65839458,0.08371091,-0.162817406,0.025866717,-0.05193628,0.043419648,19.26896955,3.616001055,19.33594649,7.058263307
59118.87632,-301.818,1.5789,0.55,12.63808983,0.00436676,-0.016152533,0.001382576,-0.025713863,0.001818686,3.526539251,0.161542301,32.4642126,1.43278823
59118.87724,-301.818,1.5789,0.55,12.63797359,0.004348944,-0.015964743,0.003347852,-0.022681765,0.001704082,3.207493856,0.265796241,30.961946,3.003607178
59119.82511,-285.603,0.9762,0.55,12.4714244,0.005895432,-0.053687655,0.001912532,-0.030019113,0.001943832,7.148810907,0.192824545,34.35273103,0.901872957
59119.82603,-285.603,0.9762,0.55,12.47310417,0.005522649,-0.053735355,0.001777145,-0.030253284,0.001758518,7.16758564,0.17678561,34.43686865,0.819031821
59120.82112,-285.226,1.01,0.55,12.66633706,0.008691759,-0.013795895,0.003081117,0.016811269,0.004450239,2.492283952,0.381608552,174.8107286,4.865637863
59120.82204,-285.226,1.01,0.55,12.67309966,0.007723987,-0.009085638,0.002423951,0.014189111,0.002639153,1.937786655,0.251855197,171.4402193,4.231109609
59121.81967,-285.609,0.9678,0.55,12.19633822,0.010192019,-0.063564451,0.002632792,-0.009239603,0.002597505,7.462780895,0.261520807,23.87623844,1.158823613
59121.8206,-285.609,0.9678,0.55,12.22378846,0.008704053,-0.06479764,0.002303175,-0.009574904,0.002380836,7.611399278,0.234232705,23.94377826,1.040577679
59122.81889,-286.101,1.0318,0.55,12.44723231,0.010009749,-0.048932334,0.002424013,-0.008341153,0.002664808,5.763603586,0.254726309,24.08591323,1.534200404
59122.81982,-286.101,1.0318,0.55,12.46010476,0.008696691,-0.049538738,0.002473496,-0.009655696,0.002523748,5.861391197,0.249874941,24.76367675,1.431473578
59123.82305,-288.058,1.0574,0.55,12.18747701,0.006065655,-0.07273587,0.001610311,-0.017572101,0.001610603,8.69895824,0.161045691,24.08286184,0.616609963
59123.82397,-288.058,1.0574,0.55,12.19716041,0.005628468,-0.082797262,0.001533946,-0.017764827,0.001594004,9.844960471,0.156426309,23.34684018,0.53837539
59124.82231,-288.613,1.1033,0.55,12.10455499,0.005482014,-0.069763431,0.001405867,-0.056304888,0.001452894,10.42311921,0.142957401,36.19020713,0.458405763
59124.82324,-288.613,1.1033,0.55,12.09893647,0.005146729,-0.072352767,0.001333999,-0.05774838,0.001401025,10.76313818,0.136792273,36.03456341,0.425612619
59125.81857,-287.708,1.7003,0.55,12.30895602,0.007943991,-0.035916749,0.002278797,0.007403951,0.002550107,4.253954078,0.241816475,11.81804728,1.983930752
59125.81949,-287.708,1.7003,0.55,12.2891813,0.0070637,-0.03792537,0.001938947,0.006045412,0.0022198,4.458185975,0.208412195,13.11354302,1.651006733
59126.81788,-288.914,1.1129,0.55,12.32871569,0.007916099,0.018234529,0.00239464,-0.021387708,0.002180447,3.257099555,0.229032477,81.66096571,2.351406909
59126.8188,-288.914,1.1129,0.55,12.32205918,0.007032522,0.015087617,0.001891672,-0.020359347,0.002052036,2.937841294,0.197350574,79.70644064,2.204546955
59127.81459,-288.803,1.0429,0.55,11.90975696,0.011201803,-0.04970794,0.002838398,-0.009474856,0.002583842,5.876330532,0.27141194,21.94286214,1.468085868
59127.81552,-288.803,1.0429,0.55,11.90644593,0.009499361,-0.050403207,0.002077927,-0.008787231,0.002161367,5.943941857,0.212005753,21.49173956,1.208859133
59129.85348,-305.25,1.576,0.55,12.58713289,0.004986841,-0.062625298,0.001880299,0.03469927,0.001557097,8.322919317,0.172627848,165.6050742,0.65571926
59129.85441,-305.25,1.576,0.55,12.59177234,0.00461083,-0.061180879,0.001828606,0.034678089,0.003533851,8.168892723,0.281353017,165.3274459,1.305122523
59130.89647,-336.844,4.5134,0.55,12.43630858,0.003456087,0.015173302,0.001228772,-0.012398112,0.001267372,2.273772405,0.124819361,38.87986294,1.830564988
59130.8974,-336.844,4.5134,0.55,12.42553757,0.003473319,0.015684082,0.001292185,-0.012186474,0.001234333,2.304918517,0.12635629,39.58246199,1.812195412
59131.81945,-293.602,1.3415,0.55,12.27400954,0.004139233,-0.001646921,0.001059233,-0.008453987,0.001544256,0.993616021,0.13160899,51.23613958,3.594934238
59131.82038,-293.602,1.3415,0.55,12.26219313,0.004005577,-0.002884882,0.001175596,-0.007733256,0.001458151,0.94937298,0.131676414,46.51901301,4.212395211
59132.81098,-291.83,1.1673,0.55,12.39362687,0.018708966,-0.010589763,0.039519737,-0.006221182,0.109881233,0.719779584,2.157573267,28.73650705,225.8666166
59132.81191,-291.83,1.1673,0.55,12.41596278,0.00783755,-0.004843036,0.002383294,0.00138054,0.00227003,0.526081847,0.239295577,5.564721258,12.96297552
59133.81114,-292.83,1.1435,0.55,12.66592003,0.008678536,-0.020966567,0.012945099,-0.013248408,0.003235118,2.754278916,0.995387103,28.66403918,8.589381527
59133.81207,-292.83,1.1435,0.55,12.67190099,0.00766715,-0.025054457,0.002483458,-0.009431652,0.003277362,3.090803039,0.290779015,22.83432491,3.413210175
59134.81479,-294.873,1.327,0.55,12.50415506,0.005604546,-0.018901774,0.001655726,-0.040990255,0.001957476,5.244877599,0.181288989,43.09911354,1.086859667
59134.81571,-294.873,1.327,0.55,12.49452976,0.005224872,-0.017863259,0.001592007,-0.039272707,0.001847468,5.013175396,0.172447445,43.24775176,1.088049934
59135.81365,-295.327,1.4464,0.55,12.48762016,0.006055779,-0.032395816,0.002071776,-0.024665059,0.002209435,4.727844635,0.214171999,28.66519847,1.51971084
59135.81458,-295.327,1.4464,0.55,12.48518168,0.005672946,-0.036187321,0.001839457,-0.021590904,0.001872075,4.895083916,0.185583643,25.43405498,1.266934257
